Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,UNIT_MEASURE,TIME_DETAIL,Value
2016,A,0,C,MAFF,A,N,N_KH_141502_01,KH,PT,2020,7
2017,A,0,C,MAFF,A,N,N_KH_141502_01,KH,PT,2020,10
2018,A,0,C,MAFF,A,N,N_KH_141502_01,KH,PT,2020,15
2019,A,0,C,MAFF,A,N,N_KH_141502_01,KH,PT,2020,20
2020,A,0,C,MAFF,A,N,N_KH_141502_01,KH,PT,2020,25
