Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,Sex,Degree of urbanisation,UNIT_MEASURE,Time period details,Value
2011,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Siemreap,,,Percent,2019-2020,39.6
2012,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Siemreap,,,Percent,2019-2020,37.0
2013,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Siemreap,,,Percent,2019-2020,36.2
2014,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Siemreap,,,Percent,2019-2020,36.9
2015,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Siemreap,,,Percent,2019-2020,38.9
2016,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Siemreap,,,Percent,2019-2020,42.6
2017,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Siemreap,,,Percent,2019-2020,44.2
2018,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Siemreap,,,Percent,2019-2020,47.8
2019,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Siemreap,,,Percent,2019-2020,48.3
2009,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Stung Treng,Female,,Percent,2019-2020,38.0
2010,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Stung Treng,Female,,Percent,2019-2020,40.3
2011,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Stung Treng,Female,,Percent,2019-2020,36.0
2012,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Stung Treng,Female,,Percent,2019-2020,30.9
2013,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Stung Treng,Female,,Percent,2019-2020,30.3
2014,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Stung Treng,Female,,Percent,2019-2020,27.7
2015,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Stung Treng,Female,,Percent,2019-2020,27.4
2016,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Stung Treng,Female,,Percent,2019-2020,28.9
2017,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Stung Treng,Female,,Percent,2019-2020,34.0
2018,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Stung Treng,Female,,Percent,2019-2020,36.8
2019,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Stung Treng,Female,,Percent,2019-2020,40.4
2009,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Stung Treng,Male,,Percent,2019-2020,39.0
2010,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Stung Treng,Male,,Percent,2019-2020,42.9
2011,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Stung Treng,Male,,Percent,2019-2020,31.1
2012,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Stung Treng,Male,,Percent,2019-2020,30.7
2013,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Stung Treng,Male,,Percent,2019-2020,32.2
2014,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Stung Treng,Male,,Percent,2019-2020,29.5
2015,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Stung Treng,Male,,Percent,2019-2020,24.6
2016,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Stung Treng,Male,,Percent,2019-2020,27.8
2017,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Stung Treng,Male,,Percent,2019-2020,33.2
2018,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Stung Treng,Male,,Percent,2019-2020,34.6
2019,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Stung Treng,Male,,Percent,2019-2020,35.6
2009,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Stung Treng,,,Percent,2019-2020,38.5
2010,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Stung Treng,,,Percent,2019-2020,41.6
2011,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Stung Treng,,,Percent,2019-2020,33.5
2012,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Stung Treng,,,Percent,2019-2020,30.8
2013,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Stung Treng,,,Percent,2019-2020,31.2
2014,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Stung Treng,,,Percent,2019-2020,28.6
2015,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Stung Treng,,,Percent,2019-2020,26.0
2016,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Stung Treng,,,Percent,2019-2020,28.4
2017,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Stung Treng,,,Percent,2019-2020,33.6
2018,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Stung Treng,,,Percent,2019-2020,35.6
2019,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Stung Treng,,,Percent,2019-2020,38.0
2009,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Svay Rieng,Female,,Percent,2019-2020,48.0
2010,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Svay Rieng,Female,,Percent,2019-2020,38.7
2011,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Svay Rieng,Female,,Percent,2019-2020,42.4
2012,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Svay Rieng,Female,,Percent,2019-2020,40.3
2013,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Svay Rieng,Female,,Percent,2019-2020,40.2
2014,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Svay Rieng,Female,,Percent,2019-2020,44.6
2015,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Svay Rieng,Female,,Percent,2019-2020,48.6
2016,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Svay Rieng,Female,,Percent,2019-2020,56.6
2017,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Svay Rieng,Female,,Percent,2019-2020,58.1
2018,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Svay Rieng,Female,,Percent,2019-2020,62.9
2019,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Svay Rieng,Female,,Percent,2019-2020,58.6
2009,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Svay Rieng,Male,,Percent,2019-2020,59.0
2010,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Svay Rieng,Male,,Percent,2019-2020,62.4
2011,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Svay Rieng,Male,,Percent,2019-2020,52.1
2012,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Svay Rieng,Male,,Percent,2019-2020,49.3
2013,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Svay Rieng,Male,,Percent,2019-2020,47.8
2014,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Svay Rieng,Male,,Percent,2019-2020,48.8
2015,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Svay Rieng,Male,,Percent,2019-2020,47.9
2016,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Svay Rieng,Male,,Percent,2019-2020,50.4
2017,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Svay Rieng,Male,,Percent,2019-2020,52.6
2018,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Svay Rieng,Male,,Percent,2019-2020,50.8
2019,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Svay Rieng,Male,,Percent,2019-2020,48.4
2009,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Svay Rieng,,,Percent,2019-2020,53.8
2010,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Svay Rieng,,,Percent,2019-2020,49.7
2011,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Svay Rieng,,,Percent,2019-2020,47.4
2012,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Svay Rieng,,,Percent,2019-2020,45.0
2013,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Svay Rieng,,,Percent,2019-2020,44.2
2014,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Svay Rieng,,,Percent,2019-2020,46.8
2015,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Svay Rieng,,,Percent,2019-2020,48.3
2016,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Svay Rieng,,,Percent,2019-2020,53.3
2017,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Svay Rieng,,,Percent,2019-2020,55.2
2018,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Svay Rieng,,,Percent,2019-2020,56.5
2019,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Svay Rieng,,,Percent,2019-2020,53.2
2009,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Takeo,Female,,Percent,2019-2020,60.8
2010,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Takeo,Female,,Percent,2019-2020,58.7
2011,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Takeo,Female,,Percent,2019-2020,52.7
2012,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Takeo,Female,,Percent,2019-2020,52.9
2013,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Takeo,Female,,Percent,2019-2020,52.9
2014,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Takeo,Female,,Percent,2019-2020,57.5
2015,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Takeo,Female,,Percent,2019-2020,57.6
2016,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Takeo,Female,,Percent,2019-2020,61.8
2017,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Takeo,Female,,Percent,2019-2020,65.7
2018,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Takeo,Female,,Percent,2019-2020,65.0
2019,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Takeo,Female,,Percent,2019-2020,60.3
2009,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Takeo,Male,,Percent,2019-2020,69.4
2010,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Takeo,Male,,Percent,2019-2020,66.2
2011,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Takeo,Male,,Percent,2019-2020,58.9
2012,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Takeo,Male,,Percent,2019-2020,56.3
2013,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Takeo,Male,,Percent,2019-2020,55.2
2014,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Takeo,Male,,Percent,2019-2020,57.1
2015,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Takeo,Male,,Percent,2019-2020,54.0
2016,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Takeo,Male,,Percent,2019-2020,55.5
2017,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Takeo,Male,,Percent,2019-2020,57.8
2018,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Takeo,Male,,Percent,2019-2020,55.7
2019,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Takeo,Male,,Percent,2019-2020,50.0
2009,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Takeo,,,Percent,2019-2020,65.3
2010,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Takeo,,,Percent,2019-2020,62.5
2011,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Takeo,,,Percent,2019-2020,55.9
2012,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Takeo,,,Percent,2019-2020,54.7
2013,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Takeo,,,Percent,2019-2020,54.1
2014,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Takeo,,,Percent,2019-2020,57.3
2015,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Takeo,,,Percent,2019-2020,55.7
2016,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Takeo,,,Percent,2019-2020,58.5
2017,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Takeo,,,Percent,2019-2020,61.5
2018,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Takeo,,,Percent,2019-2020,60.1
2019,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Takeo,,,Percent,2019-2020,54.9
2014,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Tboung Khmum,Female,,Percent,2019-2020,34.8
2015,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Tboung Khmum,Female,,Percent,2019-2020,35.3
2016,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Tboung Khmum,Female,,Percent,2019-2020,41.8
2017,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Tboung Khmum,Female,,Percent,2019-2020,45.4
2018,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Tboung Khmum,Female,,Percent,2019-2020,45.5
2019,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Tboung Khmum,Female,,Percent,2019-2020,47.2
2014,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Tboung Khmum,Male,,Percent,2019-2020,30.3
2015,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Tboung Khmum,Male,,Percent,2019-2020,29.7
2016,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Tboung Khmum,Male,,Percent,2019-2020,31.2
2017,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Tboung Khmum,Male,,Percent,2019-2020,33.8
2018,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Tboung Khmum,Male,,Percent,2019-2020,35.2
2019,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Tboung Khmum,Male,,Percent,2019-2020,34.6
2014,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Tboung Khmum,,,Percent,2019-2020,32.5
2015,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Tboung Khmum,,,Percent,2019-2020,32.4
2016,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Tboung Khmum,,,Percent,2019-2020,36.3
2017,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Tboung Khmum,,,Percent,2019-2020,39.4
2018,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Tboung Khmum,,,Percent,2019-2020,40.1
2019,Normal value,Units,Country Data,MoEYS_Education Statistics & Indicators,Annual,National,4.1.1.2 Completion rate Grade 9,Tboung Khmum,,,Percent,2019-2020,40.6
